NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
07/01/2021,Turner Industries,Lamar,North East Texas WDA,250,08/30/2021,07/01/2021,Paris
07/01/2021,"Cubic ITS, Inc.",Fort Bend,Gulf Coast WDA,80,02/01/2022,07/01/2021,Sugar Land
06/16/2021,TT Electronics (IRC),Nueces,Coastal Bend WDA,73,08/16/2021,06/17/2021,Corpus Christi
06/07/2021,Electronic Transaction Consultants,Dallas,Dallas County WDA,34,07/30/2021,06/07/2021,Richardson
06/04/2021,"Progenity, Inc.-Fuller Dr.",Dallas,Dallas County WDA,51,08/06/2021,06/07/2021,Irving
06/01/2021,"Progenity, Inc.-Riverside Dr.",Dallas,Dallas County WDA,9,08/06/2021,06/07/2021,Irving
06/01/2021,"Mattison Pathology, LLP dba Avero Diagnotics",Dallas,Dallas County WDA,5,08/06/2021,06/07/2021,Irving
06/01/2021,Mattison Pathollogy dba Avero Diagnotics-Fuller Dr.,Dallas,Dallas County WDA,7,08/06/2021,06/07/2021,Irving
06/01/2021,Katerra Inc.,Dallas,Dallas County WDA,82,06/04/2021,06/01/2021,Carrollton
06/01/2021,Texas Golden Peanut -ADM,El Paso,Borderplexjobs WDA,86,07/31/2021,06/03/2021,El Paso
05/25/2021,Probe Group North America LLC,Denton,North Central Texas WDA,150,07/31/2021,06/01/2021,Lewisville
05/24/2021,U.S. Well Services,Tom Green,Concho Valley WDA,63,07/20/2021,05/24/2021,San Angelo
05/24/2021,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,108,07/23/2021,05/24/2021,Pleasanton
05/20/2021,"AIG Technologies, Inc.",Tarrant,Tarrant County WDA,63,07/23/2021,05/20/2021,Fort Worth
05/14/2021,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,93,07/13/2021,05/17/2021,San Antonio
05/12/2021,Legend Energy Service-Longview,Gregg,East Texas WDA,118,05/15/2021,05/20/2021,Longview
05/06/2021,Aramark Educational Services - SFASU,Nacogdoches,Deep East Texas WDA,215,06/30/2021,05/20/2021,Nacogdoches
05/03/2021,Reliant Transportation,Denton,North Central Texas WDA,259,05/29/2021,05/04/2021,Justin
05/03/2021,Reliant Transportation-West Lot,Tarrant,Tarrant County WDA,98,05/29/2021,05/04/2021,Haslet
04/29/2021,EnerVest Ltd.,Harris,Gulf Coast WDA,111,06/28/2021,04/30/2021,Houston
04/28/2021,Concentrix CVG,Webb,South Texas WDA,422,08/21/2021,04/28/2021,Laredo
04/26/2021,Art Asset-Dallas,Dallas,Dallas County WDA,7,04/23/2021,05/12/2021,Grand Prairie
04/26/2021,Art Asset-Austin 1,Travis,Capital Area WDA,5,04/23/2021,05/12/2021,Austin
04/26/2021,Art Asset-Houston,Harris,Gulf Coast WDA,12,04/23/2021,05/12/2021,Houston
04/26/2021,Art Asset-San Antonio North,Bexar,Alamo WDA,3,04/23/2021,05/12/2021,San Antonio
04/26/2021,Art Asset-San Antonio Central,Bexar,Alamo WDA,2,04/23/2021,05/12/2021,San Antonio
04/26/2021,Art Asset-Austin Corporate,Williamson,Rural Capital WDA,9,04/23/2021,05/12/2021,Austin
04/26/2021,Art Asset-El Paso,El Paso,Borderplexjobs WDA,1,04/23/2021,05/12/2021,El Paso
04/26/2021,Art Asset-Killeen,Bell,Central Texas WDA,2,04/23/2021,05/12/2021,Killeen
04/26/2021,Art Asset-Brownsville,Hidalgo,Lower Rio Grande Valley WDA,2,04/23/2021,05/12/2021,Weslaco
04/26/2021,"Conduit Global-kgb USA, Inc.",Bexar,Alamo WDA,245,07/26/2021,04/29/2021,San Antonio
04/23/2021,"Texas Capital Bank, NA - MCA",Dallas,Dallas County WDA,95,05/07/2021,05/10/2021,Richardson
04/20/2021,Five Star Senior Living Inc.,Bexar,Alamo WDA,63,04/30/2021,04/27/2021,San Antonio
04/19/2021,Sodexo-Texoma Medical Center,Grayson,Texoma WDA,105,06/20/2021,04/29/2021,Denison
04/16/2021,Leidos-VA Austin IT Center,Travis,Capital Area WDA,140,06/06/2021,04/13/2021,Austin
04/15/2021,Union Pacific Palestine Car Facility,Anderson,East Texas WDA,57,06/14/2021,04/27/2021,Palestine
04/15/2021,Frontier Communications Corp.-Citizens Telecom Services,Collin,North Central Texas WDA,33,06/30/2021,04/15/2021,Allen
04/15/2021,Kindred Hospital - Mansfield,Tarrant,Tarrant County WDA,156,06/14/2021,04/15/2021,Mansfield
04/09/2021,GDC Technics,Bexar,Alamo WDA,56,04/09/2021,04/15/2021,San Antonio
04/09/2021,GDC Technics - Ft. Worth,Denton,North Central Texas WDA,120,04/09/2021,04/15/2021,Fort Worth
03/31/2021,"Fresenius Health Partners, I c.",Travis,Capital Area WDA,121,05/31/2021,04/06/2021,Austin
03/31/2021,Furr's Fresh Buffet-McAllen,Hidalgo,Lower Rio Grande Valley WDA,71,06/04/2021,03/31/2021,McAllen
03/25/2021,Ovintive USA Inc.,Karnes,Alamo WDA,95,07/31/2021,03/25/2021,Karnes City
03/23/2021,"CSG Systems, Inc.",Travis,Capital Area WDA,57,06/30/2021,03/29/2021,Austin
03/18/2021,"Thyssenkrupp Supply Chain Services, Inc.",Harris,Gulf Coast WDA,30,07/31/2021,03/18/2021,Houston
03/18/2021,Renaissance Dallas Addison Hotel,Dallas,Dallas County WDA,134,03/16/2020,03/22/2021,Addison
03/18/2021,Dallas Marriott Las Colinas,Dallas,Dallas County WDA,59,03/16/2020,03/22/2021,Irving
03/18/2021,Renaisance Dallas Addison Hotel - Ft. Worth,Tarrant,Tarrant County WDA,53,03/16/2020,03/22/2021,Ft. Worth
03/12/2021,Hilton-Austin,Travis,Capital Area WDA,64,02/18/2021,03/26/2021,Austin
03/09/2021,Walmart #5931,Dallas,Dallas County WDA,217,03/30/2021,03/09/2021,Dallas
03/05/2021,"Wonderful Citrus Packing, LLC",Hidalgo,Lower Rio Grande Valley WDA,141,03/04/2021,03/12/2021,Mission
03/02/2021,"Relyant Global, LLC",Hidalgo,Cameron County WDA,70,05/07/2021,03/02/2021,San Juan
02/25/2021,West Texas Medical Associates,Tom Green,Concho Valley WDA,114,04/03/2021,03/05/2021,San Angelo
02/21/2021,American Airlines-DFW,Tarrant,Tarrant County WDA,2475,04/01/2020,03/08/2021,DFW Airport
02/15/2021,Coca Cola North America,Dallas,Dallas County WDA,76,04/15/2021,03/04/2021,Grand Prairie
02/10/2021,Hilton Anatole,Dallas,Dallas County WDA,206,04/10/2021,03/11/2021,Dallas
02/08/2021,Seadrill Americas-West Neptune,Harris,Gulf Coast WDA,162,03/01/2021,03/05/2021,Houston
02/08/2021,CBRE,Dallas,Dallas County WDA,193,04/30/2021,02/11/2021,Dallas
02/05/2021,American Airlines-DFW Hangar,Tarrant,Tarrant County WDA,50,04/01/2021,03/08/2021,DFW Airport
02/05/2021,American Airlines-DFW Admin Bldg,Tarrant,Tarrant County WDA,16,04/01/2020,03/08/2021,DFW Airport
02/05/2021,American Airlines-HDQ,Tarrant,Tarrant County WDA,229,04/01/2020,03/08/2021,Ft. Worth
02/05/2021,American Airlines-HDQ2,Tarrant,Tarrant County WDA,41,04/01/2021,03/09/2021,Ft. Worth
02/05/2021,American Airlines - Ft Worth,Tarrant,Tarrant County WDA,9,04/02/2021,03/08/2021,Fort Worth
02/05/2021,American Airlines-Flight Training,Tarrant,Tarrant County WDA,103,04/01/2021,03/08/2021,Ft. Worth
02/05/2021,American Airlines-Delta Hanger,Dallas,Dallas County WDA,38,04/01/2020,03/08/2021,DFW Airport
02/05/2021,American Airlines-SRO,Tarrant,Tarrant County WDA,2,04/01/2021,03/08/2021,Ft. Worth
02/01/2021,Columbia Commercial Building Products,Rockwall,North Central Texas WDA,59,04/02/2021,03/05/2021,Rockwall
01/28/2021,"Trinity Rail Maintenance Services, Inc.",Orange,South East Texas WDA,59,04/30/2021,01/28/2021,Vidor
01/28/2021,CACI-ISS,Bexar,Alamo WDA,73,02/28/2021,02/02/2021,San Antonio
01/27/2021,Baylor Scott & White Health-Elm St,Dallas,Dallas County WDA,46,03/03/2021,03/05/2021,Dallas
01/27/2021,Baylor Scott & White Health-Main St,Dallas,Dallas County WDA,25,03/03/2021,03/05/2021,Dallas
01/27/2021,Baylor Scott & White Health-Round Rock,Williamson,Rural Capital WDA,83,03/03/2021,03/05/2021,Round Rock
01/27/2021,Baylor Scott & White Health-Austin,Travis,Capital Area WDA,62,03/03/2021,03/05/2021,Austin
01/25/2021,Lucite International,Jefferson,South East Texas WDA,99,05/01/2021,01/28/2021,Nederland
01/21/2021,Gibraltar US,Cameron,Cameron County WDA,96,03/22/2021,01/22/2021,San Benito
01/14/2021,Johnson Controls-Ruskin Rooftop Systems,Dallas,Dallas County WDA,151,03/31/2021,01/22/2021,Carrollton
01/14/2021,Alliance Data Card Services,Bexar,Alamo WDA,50,04/01/2021,01/15/2021,San Antonio
01/13/2021,ADS Alliance Data Systems,Bexar,Alamo WDA,50,04/01/2021,01/27/2021,San Antonio
01/08/2021,"Par-Pak, Inc.",Harris,Gulf Coast WDA,1,03/25/2021,01/08/2021,Houston
01/08/2021,Albertsons #3064,Harris,Gulf Coast WDA,67,02/20/2021,01/08/2021,Bellaire
01/06/2021,"VT Industries, Inc.",Bexar,Alamo WDA,104,03/12/2021,01/22/2021,Universal City
01/06/2021,Transform SR LLC-San Antonio,Bexar,Alamo WDA,67,03/07/2021,01/22/2021,San Antonio
01/05/2021,DHL - Baytown,Harris,Gulf Coast WDA,97,03/15/2021,01/06/2021,Baytown
12/22/2020,IBEX,Comal,Alamo WDA,248,02/16/2021,12/23/2020,New Braunfels
12/22/2020,BoomerangTube LLC - FM 3361,Liberty,Gulf Coast WDA,150,12/23/2020,12/30/2020,Liberty
12/21/2020,ACCC Insurance Company,Harris,Gulf Coast WDA,122,12/30/2020,12/21/2020,Houston
12/15/2020,"Halliburton Energy Services, Inc. - Carrollton",Dallas,Dallas County WDA,216,12/15/2020,12/15/2020,Carrollton
12/15/2020,"Parsley Energy, Inc. - Midland",Midland,Permian Basin WDA,100,02/15/2021,12/15/2020,Midland
12/15/2020,EVO Transportation,Travis,Capital Area WDA,104,01/09/2021,12/16/2020,Austin
12/14/2020,Hyatt Regency DFW,Tarrant,Tarrant County WDA,111,12/04/2020,12/15/2020,DFW Airport
12/14/2020,Manitou Equipment America,McLennan,Heart of Texas WDA,149,02/26/2021,12/15/2020,Waco
12/14/2020,"Laz Parking Texas, LLC",Dallas,Dallas County WDA,135,11/23/2020,12/16/2020,Dallas
12/10/2020,"Patrician Window Coverings, Inc.",Harris,Gulf Coast WDA,95,02/12/2021,12/11/2020,Webster
12/08/2020,Morrison Healthcare - University of Texas Medical Branch,Galveston,Gulf Coast WDA,149,12/23/2020,12/11/2020,Galveston
12/08/2020,Angleton Danbury Hospital,Brazoria,Gulf Coast WDA,12,12/23/2020,12/11/2020,Angleton
12/08/2020,League City Campus Hospital,Galveston,Gulf Coast WDA,15,12/23/2020,12/11/2020,League City
12/08/2020,Clear Lake Campus Hospital,Harris,Gulf Coast WDA,27,12/23/2020,12/11/2020,Webster
12/08/2020,LEH-S Presa St,Bexar,Alamo WDA,33,02/03/2021,12/16/2020,San Antonio
12/08/2020,LEH -BDA Crossing,Bexar,Alamo WDA,50,02/03/2021,12/16/2020,San Antonio
12/08/2020,LEH-Elmendorf,Bexar,Alamo WDA,5,02/03/2021,12/16/2020,Elmendorf
12/08/2020,LEH-Falls City,Karnes,Alamo WDA,4,02/03/2021,12/16/2020,Falls City
12/08/2020,Allied Universal Security Services,Tarrant,Tarrant County WDA,88,01/31/2021,12/09/2020,Arlington
12/08/2020,Tom Thumb #2574,Tarrant,Tarrant County WDA,11,02/27/2021,12/10/2020,Ft. Worth
12/08/2020,Tom Thumb #2642,Dallas,Dallas County WDA,17,02/27/2021,12/10/2020,Dallas
12/08/2020,Tom Thumb #1788,Collin,North Central Texas WDA,17,02/27/2021,12/10/2020,Plano
12/08/2020,Tom Thumb #1786,Dallas,Dallas County WDA,16,02/27/2021,12/10/2020,Grand Prairie
12/08/2020,Tom Thumb #2578,Dallas,Dallas County WDA,10,02/27/2021,12/10/2020,Garland
12/08/2020,Tom Thumb #3658,Tarrant,Tarrant County WDA,16,02/27/2021,12/10/2020,Arlington
12/08/2020,Tom Thumb #1781,Dallas,Dallas County WDA,10,02/27/2021,12/10/2020,Coppell
12/07/2020,"Parsley Energy, Inc.-Congress Ave",Travis,Capital Area WDA,85,02/08/2021,12/10/2020,Austin
12/07/2020,"Parsley Energy, Inc.-ABA",Travis,Capital Area WDA,2,02/08/2021,12/10/2020,Austin
12/07/2020,"Parsley Energy, Inc.-Colorado St.",Travis,Capital Area WDA,147,02/08/2021,12/10/2020,Austin
12/04/2020,Francesca's Holdings Corp - Clay Rd.,Harris,Gulf Coast WDA,223,01/13/2021,12/04/2020,Houston
12/04/2020,"Sable Permian Resourcces Operating, LLC - Big Lake",Reagan,Concho Valley WDA,81,02/02/2021,12/08/2020,Big Lake
12/04/2020,"Sable Permian Resources Operating, LLC",Harris,Gulf Coast WDA,100,02/02/2021,12/08/2020,Houston
12/03/2020,Southwest - Customer Service & Support,Bexar,Alamo WDA,106,03/15/2021,12/04/2020,San Antonio
03/05/2020,Concentrix CVG,Webb,South Texas WDA,135,05/04/2020,03/05/2020,Laredo
12/03/2020,Southwest - San Antonio Int'l Airport,Bexar,Alamo WDA,36,03/05/2021,12/04/2020,San Antonio
12/03/2020,Southwest - Customer Service and Support,Harris,Gulf Coast WDA,79,03/15/2021,12/04/2020,Houston
12/03/2020,Southwest-Dallas Love Field,Dallas,Dallas County WDA,465,03/15/2021,12/10/2020,Dallas
12/03/2020,Southwest-ABA,Travis,Capital Area WDA,77,03/15/2021,12/10/2020,Austin
12/03/2020,Southwest-Dallas,Dallas,Dallas County WDA,10,04/01/2021,12/10/2020,Dallas
12/03/2020,Southwest - William P. Hobby,Harris,Gulf Coast WDA,54,03/15/2021,12/04/2020,Houston
12/02/2020,Exxon Mobil Campus,Harris,Gulf Coast WDA,677,02/02/2021,12/03/2020,Spring
12/02/2020,ExxonMobil Hughes Landing - 1735,Montgomery,Gulf Coast WDA,35,02/02/2021,12/03/2020,The Woodlands
12/02/2020,ExxonMobil Hughes Landing - 1725,Montgomery,Gulf Coast WDA,10,02/02/2021,12/03/2020,The Woodlands
11/30/2020,Stork  (A FLUOR Company),Liberty,Gulf Coast WDA,18,01/29/2021,11/30/2020,Dayton
11/30/2020,Fluor - Port Neches,Jefferson,South East Texas WDA,113,01/29/2021,11/30/2020,Port Neches
11/30/2020,ConocoPhillips - 935 N.,Harris,Gulf Coast WDA,,02/01/2021,12/03/2020,Houston
11/30/2020,ConocoPhillips - Park Row,Harris,Gulf Coast WDA,,02/01/2021,12/03/2020,Houston
11/24/2020,Compass Group Eurest - Airport FWY,Tarrant,Tarrant County WDA,2,12/01/2020,11/25/2020,Fort Worth
11/24/2020,Compass Group Eurest - Hwy 360,Tarrant,Tarrant County WDA,12,12/01/2020,11/25/2020,Fort Worth
11/24/2020,Compass Group Eurest - American Blvd.,Tarrant,Tarrant County WDA,2,12/01/2020,11/25/2020,Fort Worth
11/24/2020,Compass Group Eurest - One Transformation Way,Tarrant,Tarrant County WDA,4,12/01/2020,11/25/2020,Fort Worth
11/24/2020,Compass Group Eurest,Tarrant,Tarrant County WDA,32,12/01/2020,11/25/2020,Fort Worth
11/24/2020,"Hilite Industries-Automotive, LLC",Dallas,Dallas County WDA,139,01/19/2021,11/24/2020,Carrollton
11/24/2020,Compass Group Eurest - 4501 Hwy 360,Tarrant,Tarrant County WDA,37,12/01/2020,11/25/2020,Fort Worth
11/18/2020,Tailored Shared Services,Harris,Gulf Coast WDA,61,08/21/2020,11/18/2020,Houston
11/18/2020,Southwest-Hobby Airport,Harris,Gulf Coast WDA,35,01/25/2021,11/18/2020,Houston
11/18/2020,Southwest - Dallas Lovefield Airport,Dallas,Dallas County WDA,82,01/25/2021,11/18/2020,Dallas
11/13/2020,XPO Logistics Supply-Lancaster,Dallas,Dallas County WDA,53,01/10/2021,11/13/2020,Lancaster
11/12/2020,Electronic Transaction Consultants,Dallas,Dallas County WDA,68,01/04/2021,11/12/2020,Richardson
11/06/2020,Sodexo-El Paso,El Paso,Borderplexjobs WDA,177,03/01/2020,11/09/2020,El Paso
11/06/2020,Southwest - Dallas Lovefield Airport,Dallas,Dallas County WDA,8,01/11/2021,11/06/2020,Dallas
11/06/2020,Southwest - William P. Hobby Airport,Harris,Gulf Coast WDA,8,01/11/2021,11/06/2020,Houston
11/06/2020,Sodexo-Austin,Travis,Capital Area WDA,80,03/01/2020,11/09/2020,Austin
11/02/2020,CDI HS - Muleshoe Center,Bailey,South Plains WDA,9,12/31/2020,11/05/2020,Muleshoe
11/02/2020,CDI HS - Central Office Admin,Webb,South Texas WDA,13,12/31/2020,11/05/2020,Laredo
11/02/2020,CDI HS - Alice Center,Jim Wells,Coastal Bend WDA,13,12/31/2020,11/05/2020,Alice
11/02/2020,CDI HS - Crystal City Satellite,Zavala,Middle Rio Grande WDA,10,12/31/2020,11/05/2020,Crystal City
11/02/2020,CDI HS - Eagle Pass II Center,Maverick,Middle Rio Grande WDA,20,12/31/2020,11/05/2020,Eagle Pass
11/02/2020,CDI HS - Eagle Pass I/T Center,Maverick,Middle Rio Grande WDA,25,12/31/2020,11/05/2020,Eagle Pass
11/02/2020,CDI HS - Falfurrias Center,Brooks,Coastal Bend WDA,14,12/31/2020,11/05/2020,Falfurrias
11/02/2020,CDI HS - Floydada Center,Floyd,South Plains WDA,9,12/31/2020,11/05/2020,Floydada
11/02/2020,CDI HS - Henry Bonilla Center,Webb,South Texas WDA,13,12/31/2020,11/05/2020,Laredo
11/02/2020,CDI HS - Laredo Norton Admin,Webb,South Texas WDA,19,12/31/2020,11/05/2020,Laredo
11/02/2020,CDI HS - Mathis Center,San Patricio,Coastal Bend WDA,15,12/31/2020,11/05/2020,Mathis
11/02/2020,CDI HS - Pearsall Center,Frio,Alamo WDA,10,12/31/2020,11/05/2020,Pearsall
11/02/2020,CDI HS - Plainview Center,Hale,South Plains WDA,5,12/31/2020,11/05/2020,Plainview
11/02/2020,CDI HS - Rio Grande City Center,Starr,Lower Rio Grande Valley WDA,25,12/31/2020,11/05/2020,Rio Grande City
11/02/2020,CDI HS - Roma Center,Starr,Lower Rio Grande Valley WDA,23,12/31/2020,11/05/2020,Roma
11/02/2020,CDI HS - Uvalde Center,Uvalde,Middle Rio Grande WDA,12,12/31/2020,11/05/2020,Uvalde
11/02/2020,CDI HS - Lubbock Center,Lubbock,South Plains WDA,14,12/31/2020,11/05/2020,Lubbock
10/29/2020,Alorica-Austin,Travis,Capital Area WDA,712,12/31/2020,10/29/2020,Austin
10/28/2020,Cheddar's Scratch Kitchen - McAllen,Hidalgo,Lower Rio Grande Valley WDA,52,12/30/2020,10/28/2020,McAllen
10/27/2020,Regal Cinema-Tomball,Harris,Gulf Coast WDA,51,10/08/2020,10/27/2020,Tomball
10/27/2020,Regal Cinema-Houston,Harris,Gulf Coast WDA,49,10/08/2020,10/27/2020,Houston
10/27/2020,VillaSport - Katy,Fort Bend,Gulf Coast WDA,43,12/21/2020,10/27/2020,Katy
10/27/2020,VillaSport - Cypress,Harris,Gulf Coast WDA,47,12/21/2020,10/27/2020,Cypress
10/27/2020,VillaSport,Montgomery,Gulf Coast WDA,48,12/21/2020,10/27/2020,The Woodlands
10/23/2020,Grand Hyatt Dallas-Ft Worth,Tarrant,Tarrant County WDA,75,03/22/2020,10/26/2020,DFW Airport
10/22/2020,"Remedy Applications, Inc.",Travis,Capital Area WDA,82,10/22/2020,10/26/2020,Austin
10/20/2020,Transform SR LLC - Round Rock,Williamson,Rural Capital WDA,170,12/12/2020,10/20/2020,Round Rock
10/20/2020,Methodist Southlake Hospital,Denton,Tarrant County WDA,153,12/19/2020,10/20/2020,Southlake
10/16/2020,Aramark-Whataburger Field,Nueces,Coastal Bend WDA,86,10/16/2020,10/21/2020,Corpus Ch
10/16/2020,Aramark-Minute Maid Park,Harris,Gulf Coast WDA,751,10/16/2020,10/21/2020,Houston
10/16/2020,Aramark-Cynthia Woods Mitchell Pavillion,Montgomery,Gulf Coast WDA,75,10/16/2020,10/21/2020,The Woodlands
10/16/2020,Hyatt Regency Hotel,Dallas,Dallas County WDA,101,03/18/2020,10/19/2020,Dallas
10/16/2020,Aramark - AT&T Center,Bexar,Alamo WDA,287,10/16/2020,10/19/2020,San Antonio
10/15/2020,Transocean Offshore Deepwater Drilling-Deepwater Asgard,Harris,Gulf Coast WDA,100,12/01/2020,10/21/2020,Houston
10/13/2020,Wyndham - Riverside Suites Sales,Bexar,Alamo WDA,3,09/18/2020,10/14/2020,San Antonio
10/13/2020,Turner Industries,Lamar,North East Texas WDA,190,12/11/2020,10/13/2020,Paris
10/05/2020,"Securitas Critical Infrastructure Services, Inc.",Somervell,North Central Texas WDA,142,12/07/2020,10/05/2020,Glen Rose
09/29/2020,The Expo Group Inc.,Dallas,Dallas County WDA,114,03/11/2020,09/29/2020,Irving
09/18/2020,Freeman Company-Davis St.,Dallas,Dallas County WDA,33,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Audio Visual -San Antonio,Bexar,Alamo WDA,1,06/30/2020,09/21/2020,San Antonio
09/18/2020,Freeman Company -San Antonio,Bexar,Alamo WDA,15,06/30/2020,09/21/2020,San Antonio
09/18/2020,"Freeman Corporate, LLC",Dallas,Dallas County WDA,28,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Digi Ventures,Dallas,Dallas County WDA,3,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Digi Ventures-Davis St.,Dallas,Dallas County WDA,2,09/23/2020,09/21/2020,Dallas
09/18/2020,"Freeman Expositions, LLC",Dallas,Dallas County WDA,21,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Expositions-Davis St.,Dallas,Dallas County WDA,20,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Audio Visual,Dallas,Dallas County WDA,57,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Company,Dallas,Dallas County WDA,83,09/23/2020,09/21/2020,Dallas
09/18/2020,Freeman Expositions,Bexar,Alamo WDA,34,06/30/2020,09/21/2020,San Antonio
09/17/2020,Sur La Table Store 17,Harris,Gulf Coast WDA,10,09/01/2020,09/17/2020,Houston
09/17/2020,P.F. Chang's -McAllen,Hidalgo,Lower Rio Grande Valley WDA,75,03/01/2020,09/21/2020,McAllen
09/17/2020,P.F. Chang's -Waco,McLennan,Heart of Texas WDA,75,03/01/2020,09/21/2020,Waco
