Account Number,Account Name,Category,Department,Balance,,,,,,,
3225,Current Year Earnings - IT,Equity,IT,"($10,211)",,,,,,,
3234,Distributions - Corporate,Equity,Corporate,"($40,862)",,,,,,,
3245,Common Stock - Warehouse,Equity,Warehouse,"($5,939)",,,,,,,
4003,Discounts - Corporate,Revenue,Corporate,"($68,186)",,,,,,,
4013,Other Income - IT,Revenue,IT,"($24,079)",,,,,,,
4023,Product Revenue - Sales,Revenue,Sales,"($15,980)",,,,,,,
4032,Product Revenue - IT,Revenue,IT,"($18,165)",,,,,,,
4042,Other Income - Corporate,Revenue,Corporate,"($44,268)",,,,,,,
4054,Returns and Allowances - IT,Revenue,IT,"($151,977)",,,,,,,
4062,Product Revenue - Admin,Revenue,Admin,"($7,711)",,,,,,,
4074,Returns and Allowances - Warehouse,Revenue,Warehouse,"($41,496)",,,,,,,
4085,Service Revenue - Admin,Revenue,Admin,"($19,950)",,,,,,,
4091,Service Revenue - Ops,Revenue,Ops,"($63,944)",,,,,,,
4100,Other Income - Sales,Revenue,Sales,"($81,703)",,,,,,,
4112,Other Income - Ops,Revenue,Ops,"($94,539)",,,,,,,
4120,Discounts - Ops,Revenue,Ops,"($35,120)",,,,,,,
4130,Other Income - Sales,Revenue,Sales,"($114,961)",,,,,,,
4143,Other Income - IT,Revenue,IT,"($98,457)",,,,,,,
4150,Other Income - Warehouse,Revenue,Warehouse,"($74,878)",,,,,,,
4161,Service Revenue - Ops,Revenue,Ops,"($40,366)",,,,,,,
4170,Returns and Allowances - Sales,Revenue,Sales,"($7,540)",,,,,,,
4185,Service Revenue - Sales,Revenue,Sales,"($79,660)",,,,,,,
4191,Service Revenue - Corporate,Revenue,Corporate,"($9,753)",,,,,,,
4205,Product Revenue - IT,Revenue,IT,"($20,692)",,,,,,,
4214,Returns and Allowances - Admin,Revenue,Admin,"($9,047)",,,,,,,
4225,Product Revenue - Ops,Revenue,Ops,"($141,032)",,,,,,,
4233,Product Revenue - Ops,Revenue,Ops,"($38,497)",,,,,,,
4242,Product Revenue - IT,Revenue,IT,"($28,808)",,,,,,,
4253,Returns and Allowances - Corporate,Revenue,Corporate,"($120,050)",,,,,,,
4263,Discounts - Admin,Revenue,Admin,"($33,895)",,,,,,,
4273,Returns and Allowances - Corporate,Revenue,Corporate,"($63,578)",,,,,,,
4283,Returns and Allowances - Corporate,Revenue,Corporate,"($46,422)",,,,,,,
4290,Other Income - IT,Revenue,IT,"($48,997)",,,,,,,
4303,Discounts - IT,Revenue,IT,"($41,885)",,,,,,,
4312,Service Revenue - Admin,Revenue,Admin,"($9,956)",,,,,,,
4323,Other Income - Corporate,Revenue,Corporate,"($112,667)",,,,,,,
4333,Other Income - IT,Revenue,IT,"($9,006)",,,,,,,
4343,Returns and Allowances - Corporate,Revenue,Corporate,"($20,310)",,,,,,,
4352,Other Income - Warehouse,Revenue,Warehouse,"($29,260)",,,,,,,
4361,Returns and Allowances - Corporate,Revenue,Corporate,"($12,457)",,,,,,,
4374,Discounts - Corporate,Revenue,Corporate,"($26,870)",,,,,,,
4384,Other Income - Admin,Revenue,Admin,"($76,719)",,,,,,,
4391,Product Revenue - IT,Revenue,IT,"($20,598)",,,,,,,
4401,Other Income - Corporate,Revenue,Corporate,"($193,474)",,,,,,,
4412,Discounts - IT,Revenue,IT,"($616,181)",,,,,,,
4420,Other Income - Ops,Revenue,Ops,"($31,171)",,,,,,,
4432,Returns and Allowances - Corporate,Revenue,Corporate,"($32,660)",,,,,,,
4442,Discounts - Warehouse,Revenue,Warehouse,"($14,894)",,,,,,,
5005,Materials - Warehouse,COGS,Warehouse,"$34,249",,,,,,,
5015,Freight In - Ops,COGS,Ops,"$17,865",,,,,,,
5020,Labor - Corporate,COGS,Corporate,"$256,999",,,,,,,
5031,Freight In - Corporate,COGS,Corporate,"$13,393",,,,,,,
5042,Labor - Warehouse,COGS,Warehouse,"$66,956",,,,,,,
5055,Inventory Adjustments - Sales,COGS,Sales,"$34,243",,,,,,,
5062,Inventory Adjustments - Warehouse,COGS,Warehouse,"$11,374",,,,,,,
5075,Freight In - Corporate,COGS,Corporate,"$73,989",,,,,,,
5084,Materials - Warehouse,COGS,Warehouse,"$17,039",,,,,,,
5092,Inventory Adjustments - Corporate,COGS,Corporate,"$48,525",,,,,,,
5102,Inventory Adjustments - IT,COGS,IT,"$113,397",,,,,,,
5115,Labor - IT,COGS,IT,"$9,442",,,,,,,
5122,Materials - Corporate,COGS,Corporate,"$15,162",,,,,,,
5135,Freight In - Warehouse,COGS,Warehouse,"$24,274",,,,,,,
5145,Inventory Adjustments - Admin,COGS,Admin,"$9,228",,,,,,,
5151,Labor - Warehouse,COGS,Warehouse,"$73,145",,,,,,,
5161,Materials - Sales,COGS,Sales,"$64,560",,,,,,,
5174,Freight In - Ops,COGS,Ops,"$25,182",,,,,,,
5182,Inventory Adjustments - IT,COGS,IT,"$37,253",,,,,,,
5195,Materials - Corporate,COGS,Corporate,"$38,867",,,,,,,
5205,Materials - IT,COGS,IT,"$5,791",,,,,,,
5214,Freight In - IT,COGS,IT,"$39,973",,,,,,,
5225,Materials - Corporate,COGS,Corporate,"$153,923",,,,,,,
5232,Labor - IT,COGS,IT,"$92,428",,,,,,,
5242,Freight In - Corporate,COGS,Corporate,"$28,156",,,,,,,
5250,Freight In - Corporate,COGS,Corporate,"$10,823",,,,,,,
5264,Materials - Sales,COGS,Sales,"$25,363",,,,,,,
5270,Inventory Adjustments - Ops,COGS,Ops,"$20,344",,,,,,,
5284,Labor - IT,COGS,IT,"$62,649",,,,,,,
5295,Labor - Sales,COGS,Sales,"$26,577",,,,,,,
5305,Materials - Ops,COGS,Ops,"$45,967",,,,,,,
5312,Inventory Adjustments - IT,COGS,IT,"$15,463",,,,,,,
5324,Labor - Ops,COGS,Ops,"$30,655",,,,,,,
5330,Labor - Warehouse,COGS,Warehouse,"$26,937",,,,,,,
5341,Freight In - Admin,COGS,Admin,"$23,192",,,,,,,
5352,Freight In - Sales,COGS,Sales,"$9,926",,,,,,,
5364,Labor - Warehouse,COGS,Warehouse,"$49,250",,,,,,,
5370,Materials - IT,COGS,IT,"$150,585",,,,,,,
5381,Inventory Adjustments - Admin,COGS,Admin,"$30,211",,,,,,,
5394,Labor - Admin,COGS,Admin,"$59,095",,,,,,,
5405,Freight In - Corporate,COGS,Corporate,"$73,692",,,,,,,
5410,Labor - Corporate,COGS,Corporate,"$34,853",,,,,,,
5422,Freight In - Corporate,COGS,Corporate,"$31,502",,,,,,,
5433,Materials - Sales,COGS,Sales,"$33,274",,,,,,,
5444,Inventory Adjustments - Warehouse,COGS,Warehouse,"$42,253",,,,,,,
6000,Salaries - IT,Operating Expenses,IT,"$47,141",,,,,,,
6012,Marketing - Sales,Operating Expenses,Sales,"$15,423",,,,,,,
6022,Marketing - Admin,Operating Expenses,Admin,"$9,505",,,,,,,
6030,Utilities - Sales,Operating Expenses,Sales,"$42,844",,,,,,,
6040,Office Supplies - Corporate,Operating Expenses,Corporate,"$21,502",,,,,,,
6055,Software - Admin,Operating Expenses,Admin,"$65,837",,,,,,,
6063,Insurance - Sales,Operating Expenses,Sales,"$15,669",,,,,,,
6074,Software - Corporate,Operating Expenses,Corporate,"$10,986",,,,,,,
6081,Travel - Ops,Operating Expenses,Ops,"$6,109",,,,,,,
6093,Repairs - Admin,Operating Expenses,Admin,"$15,832",,,,,,,
6101,Insurance - Warehouse,Operating Expenses,Warehouse,"$6,582",,,,,,,
6114,Marketing - Corporate,Operating Expenses,Corporate,"$170,046",,,,,,,
6121,Software - IT,Operating Expenses,IT,"$15,881",,,,,,,
6135,Software - Admin,Operating Expenses,Admin,"$7,657",,,,,,,
6142,Insurance - IT,Operating Expenses,IT,"$128,303",,,,,,,
6152,Travel - Admin,Operating Expenses,Admin,"$18,150",,,,,,,
6163,Salaries - Sales,Operating Expenses,Sales,"$53,668",,,,,,,
6170,Salaries - Admin,Operating Expenses,Admin,"$2,872",,,,,,,
6180,Software - IT,Operating Expenses,IT,"$67,607",,,,,,,
6190,Office Supplies - IT,Operating Expenses,IT,"$42,990",,,,,,,
6203,Utilities - Sales,Operating Expenses,Sales,"$42,157",,,,,,,
6214,Marketing - Admin,Operating Expenses,Admin,"$51,744",,,,,,,
6225,Repairs - Admin,Operating Expenses,Admin,"$26,645",,,,,,,
6231,Rent - Sales,Operating Expenses,Sales,"$106,402",,,,,,,
6240,Marketing - Ops,Operating Expenses,Ops,"$24,759",,,,,,,
6253,Repairs - Corporate,Operating Expenses,Corporate,"$120,440",,,,,,,
6260,Salaries - Ops,Operating Expenses,Ops,"$22,959",,,,,,,
6270,Repairs - Sales,Operating Expenses,Sales,"$62,143",,,,,,,
6280,Marketing - Sales,Operating Expenses,Sales,"$90,405",,,,,,,
6291,Travel - Sales,Operating Expenses,Sales,"$35,848",,,,,,,
6303,Rent - Corporate,Operating Expenses,Corporate,"$5,901",,,,,,,
6310,Marketing - Admin,Operating Expenses,Admin,"$23,882",,,,,,,
6323,Utilities - Corporate,Operating Expenses,Corporate,"$27,835",,,,,,,
6335,Travel - Sales,Operating Expenses,Sales,"$4,860",,,,,,,
6341,Utilities - Admin,Operating Expenses,Admin,"$232,845",,,,,,,
6352,Insurance - Corporate,Operating Expenses,Corporate,"$31,680",,,,,,,
6362,Utilities - Warehouse,Operating Expenses,Warehouse,"$22,045",,,,,,,
6374,Utilities - IT,Operating Expenses,IT,"$23,335",,,,,,,
6384,Repairs - Ops,Operating Expenses,Ops,"$35,696",,,,,,,
6395,Repairs - Admin,Operating Expenses,Admin,"$97,861",,,,,,,
6405,Professional Fees - Ops,Operating Expenses,Ops,"$120,482",,,,,,,
6411,Insurance - Admin,Operating Expenses,Admin,"$70,014",,,,,,,
6423,Office Supplies - Sales,Operating Expenses,Sales,"$116,064",,,,,,,
6435,Professional Fees - IT,Operating Expenses,IT,"$80,149",,,,,,,
6442,Rent - Ops,Operating Expenses,Ops,"$56,611",,,,,,,
7003,Bank Fees - Ops,Other Expense,Ops,"$37,695",,,,,,,
7011,Taxes and Licenses - Ops,Other Expense,Ops,"$12,751",,,,,,,
7025,Taxes and Licenses - Ops,Other Expense,Ops,"$17,587",,,,,,,
7035,Bank Fees - Ops,Other Expense,Ops,"$320,961",,,,,,,
7043,Bank Fees - Warehouse,Other Expense,Warehouse,"$44,754",,,,,,,
7051,Taxes and Licenses - IT,Other Expense,IT,"$190,865",,,,,,,
7063,Interest Expense - Ops,Other Expense,Ops,"$27,715",,,,,,,
7072,Taxes and Licenses - Corporate,Other Expense,Corporate,"$21,880",,,,,,,
7081,Taxes and Licenses - IT,Other Expense,IT,"$19,284",,,,,,,
7094,Interest Expense - IT,Other Expense,IT,"$32,970",,,,,,,
7104,Taxes and Licenses - IT,Other Expense,IT,"$242,106",,,,,,,
7111,Interest Expense - IT,Other Expense,IT,"$74,154",,,,,,,
7124,Bank Fees - Sales,Other Expense,Sales,"$20,111",,,,,,,
7130,Interest Expense - Ops,Other Expense,Ops,"$14,952",,,,,,,
7140,Miscellaneous Expense - Warehouse,Other Expense,Warehouse,"$21,073",,,,,,,
7154,Bank Fees - Sales,Other Expense,Sales,"$21,745",,,,,,,
7164,Taxes and Licenses - Warehouse,Other Expense,Warehouse,"$43,936",,,,,,,
7175,Taxes and Licenses - Sales,Other Expense,Sales,"$11,523",,,,,,,
7185,Miscellaneous Expense - Sales,Other Expense,Sales,"$317,495",,,,,,,
7194,Miscellaneous Expense - Ops,Other Expense,Ops,"$64,996",,,,,,,
7204,Bank Fees - Admin,Other Expense,Admin,"$10,911",,,,,,,
7214,Miscellaneous Expense - Warehouse,Other Expense,Warehouse,"$55,908",,,,,,,
7223,Taxes and Licenses - Corporate,Other Expense,Corporate,"$38,704",,,,,,,
7233,Taxes and Licenses - Warehouse,Other Expense,Warehouse,"$18,022",,,,,,,
7245,Taxes and Licenses - Sales,Other Expense,Sales,"$6,620",,,,,,,
1030,Cash - Corporate,Assets,Corporate,"$185,000",,,,,,,
1210,Accounts Receivable - Sales,Assets,Sales,"$310,000",,,,,,,
1420,Inventory - Warehouse,Assets,Warehouse,"$480,000",,,,,,,
2110,Accounts Payable - Ops,Liabilities,Ops,"($225,000)",,,,,,,
2360,Deferred Revenue - Sales,Liabilities,Sales,"($90,000)",,,,,,,
4010,Product Revenue - Sales,Revenue,Sales,"($1,250,000)",,,,,,,
4120,Returns and Allowances - Sales,Revenue,Sales,"$45,000",,,,,,,
5220,Freight In - Warehouse,COGS,Warehouse,"$76,000",,,,,,,
6120,Professional Fees - Corporate,Operating Expenses,Corporate,"$64,000",,,,,,,
6330,Software - IT,Operating Expenses,IT,"$41,000",,,,,,,
6420,Travel - Sales,Operating Expenses,Sales,"$18,000",,,,,,,
7110,Interest Expense - Corporate,Other Expense,Corporate,"$22,000",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
