Account Number,Account Name,Category,Department,Balance,,,,,,,
2150,Accrued Expense - Warehouse,Liabilities,Warehouse,"($137,220)",,,,,,,
2160,Deferred Revenue - Sales,Liabilities,Sales,"($85,832)",,,,,,,
2174,Payroll Liabilities - IT,Liabilities,IT,"($25,256)",,,,,,,
2181,Notes Payable - Admin,Liabilities,Admin,"($49,434)",,,,,,,
2190,Accounts Payable - IT,Liabilities,IT,"($101,030)",,,,,,,
2201,Deferred Revenue - Ops,Liabilities,Ops,"($5,297)",,,,,,,
2215,Payroll Liabilities - IT,Liabilities,IT,"($92,648)",,,,,,,
2224,Deferred Revenue - IT,Liabilities,IT,"($70,299)",,,,,,,
2235,Payroll Liabilities - Warehouse,Liabilities,Warehouse,"($181,621)",,,,,,,
2242,Accounts Payable - Corporate,Liabilities,Corporate,"($73,918)",,,,,,,
3005,Distributions - IT,Equity,IT,"($162,350)",,,,,,,
3014,Retained Earnings - Warehouse,Equity,Warehouse,"($17,548)",,,,,,,
3023,Distributions - IT,Equity,IT,"($31,889)",,,,,,,
3030,Retained Earnings - Corporate,Equity,Corporate,"($13,500)",,,,,,,
3042,Retained Earnings - Corporate,Equity,Corporate,"($20,716)",,,,,,,
3053,Common Stock - IT,Equity,IT,"($505,790)",,,,,,,
3061,Current Year Earnings - Ops,Equity,Ops,"($205,147)",,,,,,,
3074,Retained Earnings - Corporate,Equity,Corporate,"($27,491)",,,,,,,
3084,Distributions - IT,Equity,IT,"($9,988)",,,,,,,
3092,Current Year Earnings - IT,Equity,IT,"($415,316)",,,,,,,
3101,Current Year Earnings - Corporate,Equity,Corporate,"($23,622)",,,,,,,
3110,Distributions - Warehouse,Equity,Warehouse,"($20,805)",,,,,,,
3123,Common Stock - IT,Equity,IT,"($19,655)",,,,,,,
3133,Common Stock - Warehouse,Equity,Warehouse,"($17,820)",,,,,,,
3145,Current Year Earnings - Warehouse,Equity,Warehouse,"($358,233)",,,,,,,
3153,Distributions - IT,Equity,IT,"($12,612)",,,,,,,
3161,Retained Earnings - IT,Equity,IT,"($628,013)",,,,,,,
3173,Current Year Earnings - Ops,Equity,Ops,"($17,053)",,,,,,,
3182,Distributions - IT,Equity,IT,"($473,973)",,,,,,,
3194,Common Stock - Corporate,Equity,Corporate,"($29,645)",,,,,,,
3203,Retained Earnings - Ops,Equity,Ops,"($115,939)",,,,,,,
3214,Distributions - Ops,Equity,Ops,"($65,337)",,,,,,,
3225,Current Year Earnings - IT,Equity,IT,"($12,405)",,,,,,,
3234,Distributions - Corporate,Equity,Corporate,"($45,352)",,,,,,,
3245,Common Stock - Warehouse,Equity,Warehouse,"($7,075)",,,,,,,
4003,Discounts - Corporate,Revenue,Corporate,"($48,401)",,,,,,,
4013,Other Income - IT,Revenue,IT,"($14,392)",,,,,,,
4023,Product Revenue - Sales,Revenue,Sales,"($18,136)",,,,,,,
4032,Product Revenue - IT,Revenue,IT,"($22,150)",,,,,,,
4042,Other Income - Corporate,Revenue,Corporate,"($42,242)",,,,,,,
4054,Returns and Allowances - IT,Revenue,IT,"($177,583)",,,,,,,
4062,Product Revenue - Admin,Revenue,Admin,"($7,225)",,,,,,,
4074,Returns and Allowances - Warehouse,Revenue,Warehouse,"($43,961)",,,,,,,
4085,Service Revenue - Admin,Revenue,Admin,"($22,476)",,,,,,,
4091,Service Revenue - Ops,Revenue,Ops,"($76,437)",,,,,,,
4100,Other Income - Sales,Revenue,Sales,"($83,209)",,,,,,,
4112,Other Income - Ops,Revenue,Ops,"($90,024)",,,,,,,
4120,Discounts - Ops,Revenue,Ops,"($40,313)",,,,,,,
4130,Other Income - Sales,Revenue,Sales,"($137,488)",,,,,,,
4143,Other Income - IT,Revenue,IT,"($111,045)",,,,,,,
4150,Other Income - Warehouse,Revenue,Warehouse,"($61,191)",,,,,,,
4161,Service Revenue - Ops,Revenue,Ops,"($39,924)",,,,,,,
4170,Returns and Allowances - Sales,Revenue,Sales,"($9,009)",,,,,,,
4185,Service Revenue - Sales,Revenue,Sales,"($77,636)",,,,,,,
4191,Service Revenue - Corporate,Revenue,Corporate,"($10,826)",,,,,,,
4205,Product Revenue - IT,Revenue,IT,"($19,184)",,,,,,,
4214,Returns and Allowances - Admin,Revenue,Admin,"($9,108)",,,,,,,
4225,Product Revenue - Ops,Revenue,Ops,"($162,586)",,,,,,,
4233,Product Revenue - Ops,Revenue,Ops,"($37,473)",,,,,,,
4242,Product Revenue - IT,Revenue,IT,"($26,921)",,,,,,,
4253,Returns and Allowances - Corporate,Revenue,Corporate,"($127,210)",,,,,,,
4263,Discounts - Admin,Revenue,Admin,"($37,118)",,,,,,,
4273,Returns and Allowances - Corporate,Revenue,Corporate,"($82,024)",,,,,,,
4283,Returns and Allowances - Corporate,Revenue,Corporate,"($39,233)",,,,,,,
4290,Other Income - IT,Revenue,IT,"($62,161)",,,,,,,
4303,Discounts - IT,Revenue,IT,"($56,331)",,,,,,,
4312,Service Revenue - Admin,Revenue,Admin,"($15,029)",,,,,,,
4323,Other Income - Corporate,Revenue,Corporate,"($120,864)",,,,,,,
4333,Other Income - IT,Revenue,IT,"($9,363)",,,,,,,
4343,Returns and Allowances - Corporate,Revenue,Corporate,"($21,905)",,,,,,,
4352,Other Income - Warehouse,Revenue,Warehouse,"($30,199)",,,,,,,
4361,Returns and Allowances - Corporate,Revenue,Corporate,"($13,024)",,,,,,,
4374,Discounts - Corporate,Revenue,Corporate,"($36,562)",,,,,,,
4384,Other Income - Admin,Revenue,Admin,"($56,882)",,,,,,,
4391,Product Revenue - IT,Revenue,IT,"($17,438)",,,,,,,
4401,Other Income - Corporate,Revenue,Corporate,"($169,383)",,,,,,,
4412,Discounts - IT,Revenue,IT,"($656,195)",,,,,,,
4420,Other Income - Ops,Revenue,Ops,"($36,000)",,,,,,,
4432,Returns and Allowances - Corporate,Revenue,Corporate,"($28,860)",,,,,,,
4442,Discounts - Warehouse,Revenue,Warehouse,"($19,432)",,,,,,,
5005,Materials - Warehouse,COGS,Warehouse,"$25,747",,,,,,,
5015,Freight In - Ops,COGS,Ops,"$25,358",,,,,,,
5020,Labor - Corporate,COGS,Corporate,"$250,442",,,,,,,
5031,Freight In - Corporate,COGS,Corporate,"$15,706",,,,,,,
5042,Labor - Warehouse,COGS,Warehouse,"$81,508",,,,,,,
5055,Inventory Adjustments - Sales,COGS,Sales,"$40,453",,,,,,,
5062,Inventory Adjustments - Warehouse,COGS,Warehouse,"$11,340",,,,,,,
5075,Freight In - Corporate,COGS,Corporate,"$68,229",,,,,,,
5084,Materials - Warehouse,COGS,Warehouse,"$20,533",,,,,,,
5092,Inventory Adjustments - Corporate,COGS,Corporate,"$43,814",,,,,,,
5102,Inventory Adjustments - IT,COGS,IT,"$149,353",,,,,,,
5115,Labor - IT,COGS,IT,"$4,671",,,,,,,
5122,Materials - Corporate,COGS,Corporate,"$14,436",,,,,,,
5135,Freight In - Warehouse,COGS,Warehouse,"$23,567",,,,,,,
5145,Inventory Adjustments - Admin,COGS,Admin,"$10,995",,,,,,,
5151,Labor - Warehouse,COGS,Warehouse,"$108,317",,,,,,,
5161,Materials - Sales,COGS,Sales,"$78,140",,,,,,,
5174,Freight In - Ops,COGS,Ops,"$27,994",,,,,,,
5182,Inventory Adjustments - IT,COGS,IT,"$41,042",,,,,,,
5195,Materials - Corporate,COGS,Corporate,"$41,555",,,,,,,
5205,Materials - IT,COGS,IT,"$5,183",,,,,,,
5214,Freight In - IT,COGS,IT,"$44,615",,,,,,,
5225,Materials - Corporate,COGS,Corporate,"$196,718",,,,,,,
5232,Labor - IT,COGS,IT,"$109,355",,,,,,,
5242,Freight In - Corporate,COGS,Corporate,"$36,519",,,,,,,
5250,Freight In - Corporate,COGS,Corporate,"$14,243",,,,,,,
5264,Materials - Sales,COGS,Sales,"$27,461",,,,,,,
5270,Inventory Adjustments - Ops,COGS,Ops,"$18,618",,,,,,,
5284,Labor - IT,COGS,IT,"$76,362",,,,,,,
5295,Labor - Sales,COGS,Sales,"$20,159",,,,,,,
5305,Materials - Ops,COGS,Ops,"$54,096",,,,,,,
5312,Inventory Adjustments - IT,COGS,IT,"$20,638",,,,,,,
5324,Labor - Ops,COGS,Ops,"$34,838",,,,,,,
5330,Labor - Warehouse,COGS,Warehouse,"$32,736",,,,,,,
5341,Freight In - Admin,COGS,Admin,"$22,650",,,,,,,
5352,Freight In - Sales,COGS,Sales,"$10,476",,,,,,,
5364,Labor - Warehouse,COGS,Warehouse,"$58,661",,,,,,,
5370,Materials - IT,COGS,IT,"$176,448",,,,,,,
5381,Inventory Adjustments - Admin,COGS,Admin,"$35,573",,,,,,,
5394,Labor - Admin,COGS,Admin,"$38,861",,,,,,,
5405,Freight In - Corporate,COGS,Corporate,"$69,565",,,,,,,
5410,Labor - Corporate,COGS,Corporate,"$42,717",,,,,,,
5422,Freight In - Corporate,COGS,Corporate,"$31,699",,,,,,,
5433,Materials - Sales,COGS,Sales,"$38,333",,,,,,,
5444,Inventory Adjustments - Warehouse,COGS,Warehouse,"$48,381",,,,,,,
6000,Salaries - IT,Operating Expenses,IT,"$51,810",,,,,,,
6012,Marketing - Sales,Operating Expenses,Sales,"$17,556",,,,,,,
6022,Marketing - Admin,Operating Expenses,Admin,"$15,173",,,,,,,
6030,Utilities - Sales,Operating Expenses,Sales,"$50,590",,,,,,,
6040,Office Supplies - Corporate,Operating Expenses,Corporate,"$29,827",,,,,,,
6055,Software - Admin,Operating Expenses,Admin,"$56,933",,,,,,,
6063,Insurance - Sales,Operating Expenses,Sales,"$19,754",,,,,,,
6074,Software - Corporate,Operating Expenses,Corporate,"$12,904",,,,,,,
6081,Travel - Ops,Operating Expenses,Ops,"$9,014",,,,,,,
6093,Repairs - Admin,Operating Expenses,Admin,"$22,806",,,,,,,
6101,Insurance - Warehouse,Operating Expenses,Warehouse,"$6,726",,,,,,,
6114,Marketing - Corporate,Operating Expenses,Corporate,"$165,111",,,,,,,
6121,Software - IT,Operating Expenses,IT,"$22,651",,,,,,,
6135,Software - Admin,Operating Expenses,Admin,"$6,788",,,,,,,
6142,Insurance - IT,Operating Expenses,IT,"$132,014",,,,,,,
6152,Travel - Admin,Operating Expenses,Admin,"$18,520",,,,,,,
6163,Salaries - Sales,Operating Expenses,Sales,"$64,139",,,,,,,
6170,Salaries - Admin,Operating Expenses,Admin,"$3,261",,,,,,,
6180,Software - IT,Operating Expenses,IT,"$62,649",,,,,,,
6190,Office Supplies - IT,Operating Expenses,IT,"$46,699",,,,,,,
6203,Utilities - Sales,Operating Expenses,Sales,"$50,126",,,,,,,
6214,Marketing - Admin,Operating Expenses,Admin,"$56,008",,,,,,,
6225,Repairs - Admin,Operating Expenses,Admin,"$31,941",,,,,,,
6231,Rent - Sales,Operating Expenses,Sales,"$148,601",,,,,,,
6240,Marketing - Ops,Operating Expenses,Ops,"$33,176",,,,,,,
6253,Repairs - Corporate,Operating Expenses,Corporate,"$127,847",,,,,,,
6260,Salaries - Ops,Operating Expenses,Ops,"$20,887",,,,,,,
6270,Repairs - Sales,Operating Expenses,Sales,"$54,591",,,,,,,
6280,Marketing - Sales,Operating Expenses,Sales,"$92,656",,,,,,,
6291,Travel - Sales,Operating Expenses,Sales,"$48,486",,,,,,,
6303,Rent - Corporate,Operating Expenses,Corporate,"$7,666",,,,,,,
6310,Marketing - Admin,Operating Expenses,Admin,"$24,380",,,,,,,
6323,Utilities - Corporate,Operating Expenses,Corporate,"$34,975",,,,,,,
6335,Travel - Sales,Operating Expenses,Sales,"$4,218",,,,,,,
6341,Utilities - Admin,Operating Expenses,Admin,"$246,385",,,,,,,
6352,Insurance - Corporate,Operating Expenses,Corporate,"$33,620",,,,,,,
6362,Utilities - Warehouse,Operating Expenses,Warehouse,"$21,886",,,,,,,
6374,Utilities - IT,Operating Expenses,IT,"$22,881",,,,,,,
6384,Repairs - Ops,Operating Expenses,Ops,"$45,649",,,,,,,
6395,Repairs - Admin,Operating Expenses,Admin,"$107,819",,,,,,,
6405,Professional Fees - Ops,Operating Expenses,Ops,"$111,130",,,,,,,
6411,Insurance - Admin,Operating Expenses,Admin,"$75,413",,,,,,,
6423,Office Supplies - Sales,Operating Expenses,Sales,"$129,740",,,,,,,
6435,Professional Fees - IT,Operating Expenses,IT,"$124,269",,,,,,,
6442,Rent - Ops,Operating Expenses,Ops,"$65,943",,,,,,,
7003,Bank Fees - Ops,Other Expense,Ops,"$48,715",,,,,,,
7011,Taxes and Licenses - Ops,Other Expense,Ops,"$11,080",,,,,,,
7025,Taxes and Licenses - Ops,Other Expense,Ops,"$19,011",,,,,,,
7035,Bank Fees - Ops,Other Expense,Ops,"$383,167",,,,,,,
7043,Bank Fees - Warehouse,Other Expense,Warehouse,"$60,165",,,,,,,
7051,Taxes and Licenses - IT,Other Expense,IT,"$193,255",,,,,,,
7063,Interest Expense - Ops,Other Expense,Ops,"$28,335",,,,,,,
7072,Taxes and Licenses - Corporate,Other Expense,Corporate,"$21,340",,,,,,,
7081,Taxes and Licenses - IT,Other Expense,IT,"$25,318",,,,,,,
7094,Interest Expense - IT,Other Expense,IT,"$36,500",,,,,,,
7104,Taxes and Licenses - IT,Other Expense,IT,"$256,728",,,,,,,
7111,Interest Expense - IT,Other Expense,IT,"$74,788",,,,,,,
7124,Bank Fees - Sales,Other Expense,Sales,"$21,035",,,,,,,
7130,Interest Expense - Ops,Other Expense,Ops,"$17,618",,,,,,,
7140,Miscellaneous Expense - Warehouse,Other Expense,Warehouse,"$22,048",,,,,,,
7154,Bank Fees - Sales,Other Expense,Sales,"$28,455",,,,,,,
7164,Taxes and Licenses - Warehouse,Other Expense,Warehouse,"$32,708",,,,,,,
7175,Taxes and Licenses - Sales,Other Expense,Sales,"$16,017",,,,,,,
7185,Miscellaneous Expense - Sales,Other Expense,Sales,"$370,215",,,,,,,
7194,Miscellaneous Expense - Ops,Other Expense,Ops,"$78,231",,,,,,,
7204,Bank Fees - Admin,Other Expense,Admin,"$7,989",,,,,,,
7214,Miscellaneous Expense - Warehouse,Other Expense,Warehouse,"$52,498",,,,,,,
7223,Taxes and Licenses - Corporate,Other Expense,Corporate,"$38,882",,,,,,,
7233,Taxes and Licenses - Warehouse,Other Expense,Warehouse,"$19,881",,,,,,,
7245,Taxes and Licenses - Sales,Other Expense,Sales,"$6,575",,,,,,,
1030,Cash - Corporate,Assets,Corporate,"$42,000",,,,,,,
1210,Accounts Receivable - Sales,Assets,Sales,"$610,000",,,,,,,
1420,Inventory - Warehouse,Assets,Warehouse,"$820,000",,,,,,,
2110,Accounts Payable - Ops,Liabilities,Ops,"($515,000)",,,,,,,
2360,Deferred Revenue - Sales,Liabilities,Sales,"($310,000)",,,,,,,
4010,Product Revenue - Sales,Revenue,Sales,"($1,880,000)",,,,,,,
4120,Returns and Allowances - Sales,Revenue,Sales,"$210,000",,,,,,,
5220,Freight In - Warehouse,COGS,Warehouse,"$205,000",,,,,,,
6120,Professional Fees - Corporate,Operating Expenses,Corporate,"$265,000",,,,,,,
6330,Software - IT,Operating Expenses,IT,"$155,000",,,,,,,
6420,Travel - Sales,Operating Expenses,Sales,"$97,000",,,,,,,
7110,Interest Expense - Corporate,Other Expense,Corporate,"$116,000",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
